Year,Number of Parameters,Compute
1952,40,40
1952,40,
1954,,
1954,225,
1955,,
1956,,
1957,400,695000
1959,16,428000000
1959,2630,
1959,3000,600000000
1960,17,9900
1960,,
1961,,
1961,,
1961,,
1962,,
1963,,
1963,,
1967,40,
1968,,
1968,,
1970,,
1973,,
1973,21,
1975,,
1977,,
1979,,
1980,1140000,228000000
1981,4100,
1982,9900,
1983,324,
1984,,
1985,,
1986,,
1986,,
1986,144,124000000
1987,212000,
1987,,
1987,18600,81200000000
1988,,
1988,,
1988,110,
1989,,
1989,,
1989,,
1989,9760,43400000000
1989,3990,81200000000
1990,,
1990,,
1991,429000,
1991,,
1992,,
1992,25000,18200000000000
1992,,
1993,1660000,
1994,2450000,
1994,100000000,
1995,,
1995,,
1995,,
1995,,
1996,6450,958000000
1996,,
1997,10500,21000000000000
1997,,
1997,,
1997,,
1997,,
1998,,
1998,,
1998,,
1998,7510,227000000000
1998,60000,2810000000000
1999,,
1999,,
1999,,
2000,,
2000,,
2000,,
2000,,
2001,,
2001,,
2001,120000000,63000000000000
2002,,
2002,,
2002,,
2002,,
2002,,
2002,,
2002,,
2003,,
2003,,
2003,,
2003,,
2003,11900000,1300000000000000
2003,9180000,
2003,,
2004,,
2004,,
2004,,
2004,,
2004,100000,
2005,120000000,
2005,,
2005,,
2005,,
2005,178,
2005,,
2005,152000,24100000000000
2006,,
2006,100,
2006,,
2006,,
2006,,
2006,37100,
2006,115000,
2006,3800000,
2006,1600000,
2006,,
2007,,
2007,,
2007,,
2007,,
2007,,
2007,,
2007,,
2007,490000,
2007,,
2007,,
2007,,
2007,101000,
2008,,
2008,,
2008,,
2008,,
2008,3000000,
2008,,
2008,,
2008,2600000,
2009,,
2009,,
2009,,
2009,,
2009,,
2009,,
2009,100000000,1000000000000000
2009,,
2009,133000,
2009,80900,
2009,,
2009,,
2009,,
2009,,
2010,,
2010,,
2010,,
2010,,
2010,12100000,131000000000000
2010,7080000,350000000000000
2010,,
2010,,
2010,16200000,
2010,,
2010,5270000,3410000000000000
2010,80000000,6.14E+016
