Age (years)	White Men	White Women	Black Men	Black Women
65	12.47	11.69	9.07	8.59
66	11.70	11.05	8.60	8.22
67	10.96	10.44	8.15	7.87
68	10.26	9.85	7.72	7.52
69	9.59	9.29	7.30	7.19
70	8.96	8.75	6.91	6.87
71	8.35	8.23	6.52	6.56
72	7.78	7.74	6.16	6.25
73	7.23	7.27	5.81	5.97
74	6.71	6.82	5.47	5.69
75	6.22	6.39	5.14	5.42
76	5.75	5.98	4.83	5.16
77	5.31	5.59	4.54	4.90
78	4.89	5.21	4.25	4.66
79	4.49	4.85	3.98	4.42
80	4.12	4.51	3.72	4.19
81	3.77	4.19	3.47	3.97
82	3.44	3.88	3.23	3.76
83	3.12	3.59	3.01	3.55
84	2.84	3.32	2.80	3.36
85	2.57	3.06	2.60	3.18
86	2.32	2.82	2.41	3.00
87 	2.08	2.59	2.22	2.83
88	1.86	2.37	2.05	2.67
89	1.66	2.17	1.89	2.51
90	1.47	1.97	1.73	2.36
