Probability of death for females by calendar year and by single year of age (ages 0 to 119).
Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
2022,0.005047,0.000406,0.000242,0.000200,0.000162,0.000136,0.000119,0.000110,0.000107,0.000108,0.000112,0.000123,0.000142,0.000164,0.000191,0.000227,0.000280,0.000341,0.000398,0.000445,0.000477,0.000502,0.000536,0.000588,0.000639,0.000696,0.000746,0.000801,0.000862,0.000932,0.000996,0.001062,0.001132,0.001209,0.001275,0.001336,0.001416,0.001507,0.001611,0.001716,0.001819,0.001921,0.002025,0.002132,0.002240,0.002370,0.002534,0.002731,0.002957,0.003199,0.003431,0.003667,0.003945,0.004268,0.004653,0.005076,0.005532,0.006030,0.006557,0.007121,0.007717,0.008371,0.009062,0.009753,0.010402,0.011051,0.011761,0.012536,0.013490,0.014599,0.015836,0.017221,0.018937,0.020957,0.023259,0.025829,0.029050,0.032312,0.035839,0.039668,0.044227,0.049234,0.054875,0.061397,0.068848,0.077388,0.086858,0.097590,0.109837,0.122810,0.137011,0.152597,0.169669,0.187573,0.206089,0.224837,0.243550,0.261934,0.279678,0.296459,0.314247,0.333101,0.353088,0.374273,0.396729,0.420533,0.445765,0.472511,0.500861,0.530913,0.562768,0.596534,0.632326,0.670266,0.710482,0.753110,0.798297,0.846195,0.896494,0.941318
2023,0.004796,0.000394,0.000232,0.000195,0.000165,0.000143,0.000129,0.000120,0.000115,0.000113,0.000117,0.000126,0.000142,0.000163,0.000189,0.000196,0.000234,0.000281,0.000335,0.000390,0.000443,0.000493,0.000540,0.000583,0.000625,0.000668,0.000715,0.000766,0.000820,0.000878,0.000941,0.001006,0.001068,0.001125,0.001177,0.001232,0.001296,0.001368,0.001444,0.001513,0.001575,0.001639,0.001718,0.001820,0.001947,0.002095,0.002262,0.002445,0.002651,0.002884,0.003147,0.003441,0.003772,0.004143,0.004554,0.005000,0.005473,0.005967,0.006476,0.006993,0.007516,0.008036,0.008548,0.009052,0.009572,0.009959,0.010620,0.011421,0.012394,0.013563,0.014949,0.016572,0.018427,0.020471,0.022653,0.025009,0.027624,0.030609,0.034050,0.038026,0.042612,0.047863,0.053802,0.060423,0.067787,0.074588,0.083591,0.093689,0.105063,0.117837,0.132001,0.147519,0.164324,0.182143,0.200331,0.218737,0.237091,0.255096,0.272435,0.288781,0.306108,0.324475,0.343943,0.364580,0.386454,0.409642,0.434220,0.460273,0.487890,0.517163,0.548193,0.581085,0.615950,0.652907,0.692081,0.731628,0.768209,0.806620,0.846951,0.889298
2024,0.004677,0.000338,0.000199,0.000168,0.000141,0.000123,0.000111,0.000103,0.000099,0.000097,0.000101,0.000109,0.000123,0.000141,0.000163,0.000184,0.000219,0.000263,0.000314,0.000366,0.000417,0.000465,0.000509,0.000550,0.000590,0.000631,0.000675,0.000724,0.000776,0.000831,0.000891,0.000952,0.001011,0.001065,0.001114,0.001165,0.001224,0.001292,0.001363,0.001427,0.001483,0.001541,0.001614,0.001708,0.001824,0.001963,0.002117,0.002288,0.002480,0.002698,0.002944,0.003220,0.003530,0.003880,0.004268,0.004689,0.005136,0.005602,0.006082,0.006569,0.007060,0.007546,0.008022,0.008489,0.008970,0.009503,0.010128,0.010886,0.011810,0.012922,0.014246,0.015798,0.017573,0.019529,0.021613,0.023860,0.026352,0.029200,0.032484,0.036284,0.040669,0.045694,0.051379,0.057723,0.064788,0.071989,0.080702,0.090460,0.101444,0.113782,0.127465,0.142461,0.158708,0.175946,0.193545,0.211356,0.229114,0.246529,0.263294,0.279092,0.295837,0.313588,0.332403,0.352347,0.373488,0.395897,0.419651,0.444830,0.471520,0.499811,0.529800,0.561588,0.595283,0.631000,0.668860,0.706751,0.742089,0.779193,0.818153,0.859061
2025,0.004605,0.000314,0.000185,0.000156,0.000132,0.000115,0.000103,0.000096,0.000092,0.000091,0.000094,0.000102,0.000115,0.000131,0.000152,0.000179,0.000213,0.000256,0.000306,0.000357,0.000407,0.000454,0.000497,0.000538,0.000577,0.000618,0.000662,0.000709,0.000760,0.000815,0.000874,0.000934,0.000992,0.001044,0.001091,0.001141,0.001199,0.001265,0.001333,0.001395,0.001448,0.001503,0.001572,0.001662,0.001774,0.001908,0.002057,0.002222,0.002408,0.002619,0.002858,0.003127,0.003429,0.003771,0.004150,0.004561,0.004998,0.005455,0.005924,0.006399,0.006877,0.007348,0.007807,0.008258,0.008721,0.009238,0.009841,0.010573,0.011467,0.012547,0.013834,0.015346,0.017076,0.018981,0.021009,0.023193,0.025614,0.028382,0.031576,0.035274,0.039545,0.044440,0.049983,0.056173,0.063078,0.070827,0.079424,0.089036,0.099850,0.111996,0.125469,0.140238,0.156246,0.173237,0.190591,0.208153,0.225659,0.242825,0.259346,0.274907,0.291401,0.308885,0.327418,0.347063,0.367887,0.389960,0.413358,0.438159,0.464449,0.492316,0.521855,0.553166,0.586356,0.621538,0.658830,0.695861,0.730654,0.767187,0.805546,0.845824
2026,0.004533,0.000310,0.000183,0.000154,0.000130,0.000113,0.000102,0.000095,0.000091,0.000090,0.000093,0.000101,0.000114,0.000130,0.000151,0.000177,0.000211,0.000254,0.000304,0.000355,0.000405,0.000451,0.000495,0.000537,0.000575,0.000616,0.000660,0.000708,0.000759,0.000813,0.000872,0.000933,0.000990,0.001042,0.001089,0.001138,0.001195,0.001260,0.001328,0.001389,0.001441,0.001494,0.001560,0.001649,0.001759,0.001891,0.002038,0.002200,0.002384,0.002593,0.002830,0.003097,0.003397,0.003737,0.004114,0.004524,0.004959,0.005413,0.005880,0.006352,0.006826,0.007293,0.007745,0.008188,0.008646,0.009158,0.009754,0.010476,0.011360,0.012429,0.013706,0.015207,0.016927,0.018819,0.020831,0.022996,0.025397,0.028140,0.031309,0.034980,0.039220,0.044083,0.049592,0.055751,0.062635,0.070375,0.078943,0.088505,0.099256,0.111331,0.124726,0.139413,0.155337,0.172248,0.189523,0.207005,0.224430,0.241513,0.257950,0.273427,0.289833,0.307223,0.325656,0.345196,0.365908,0.387862,0.411134,0.435802,0.461950,0.489667,0.519047,0.550190,0.583201,0.618193,0.655285,0.691852,0.726445,0.762767,0.800906,0.840951
2027,0.004461,0.000306,0.000180,0.000152,0.000129,0.000112,0.000101,0.000094,0.000090,0.000089,0.000092,0.000100,0.000112,0.000129,0.000150,0.000176,0.000209,0.000252,0.000301,0.000352,0.000402,0.000449,0.000493,0.000534,0.000573,0.000614,0.000658,0.000706,0.000756,0.000811,0.000870,0.000930,0.000987,0.001039,0.001085,0.001134,0.001190,0.001255,0.001322,0.001382,0.001432,0.001483,0.001549,0.001635,0.001744,0.001874,0.002019,0.002179,0.002360,0.002567,0.002802,0.003067,0.003365,0.003702,0.004077,0.004484,0.004917,0.005369,0.005833,0.006302,0.006771,0.007232,0.007679,0.008116,0.008569,0.009078,0.009668,0.010382,0.011256,0.012314,0.013580,0.015071,0.016779,0.018659,0.020656,0.022803,0.025182,0.027903,0.031046,0.034689,0.038898,0.043727,0.049200,0.055326,0.062189,0.069921,0.078459,0.087972,0.098659,0.110661,0.123977,0.138580,0.154418,0.171242,0.188434,0.205830,0.223169,0.240165,0.256515,0.271906,0.288221,0.305514,0.323845,0.343275,0.363872,0.385704,0.408846,0.433377,0.459380,0.486943,0.516159,0.547129,0.579956,0.614754,0.651639,0.687760,0.722148,0.758256,0.796169,0.835977
2028,0.004390,0.000301,0.000178,0.000150,0.000127,0.000111,0.000100,0.000093,0.000089,0.000088,0.000091,0.000099,0.000111,0.000128,0.000148,0.000174,0.000208,0.000250,0.000299,0.000350,0.000400,0.000446,0.000490,0.000532,0.000571,0.000611,0.000655,0.000703,0.000753,0.000808,0.000867,0.000926,0.000983,0.001035,0.001081,0.001128,0.001184,0.001248,0.001314,0.001373,0.001422,0.001472,0.001536,0.001621,0.001728,0.001856,0.001999,0.002158,0.002337,0.002541,0.002774,0.003037,0.003332,0.003667,0.004039,0.004444,0.004873,0.005322,0.005783,0.006248,0.006713,0.007169,0.007610,0.008041,0.008490,0.008998,0.009583,0.010289,0.011154,0.012203,0.013458,0.014938,0.016635,0.018501,0.020482,0.022611,0.024971,0.027669,0.030787,0.034401,0.038579,0.043372,0.048809,0.054902,0.061743,0.069466,0.077976,0.087439,0.098062,0.109990,0.123225,0.137743,0.153491,0.170226,0.187330,0.204637,0.221885,0.238791,0.255052,0.270355,0.286576,0.303771,0.321997,0.341317,0.361796,0.383504,0.406514,0.430905,0.456759,0.484165,0.513215,0.544008,0.576648,0.611247,0.647922,0.683612,0.717792,0.753682,0.791366,0.830934
2029,0.004320,0.000297,0.000175,0.000148,0.000125,0.000109,0.000099,0.000092,0.000088,0.000087,0.000090,0.000097,0.000110,0.000126,0.000147,0.000173,0.000206,0.000248,0.000297,0.000347,0.000397,0.000444,0.000487,0.000529,0.000567,0.000608,0.000652,0.000699,0.000750,0.000804,0.000862,0.000922,0.000979,0.001030,0.001075,0.001122,0.001177,0.001241,0.001306,0.001364,0.001412,0.001461,0.001523,0.001607,0.001712,0.001838,0.001980,0.002136,0.002313,0.002516,0.002747,0.003007,0.003300,0.003632,0.004001,0.004402,0.004829,0.005274,0.005731,0.006192,0.006653,0.007103,0.007538,0.007965,0.008411,0.008918,0.009499,0.010198,0.011054,0.012094,0.013339,0.014808,0.016492,0.018344,0.020311,0.022423,0.024762,0.027438,0.030531,0.034117,0.038263,0.043021,0.048419,0.054479,0.061298,0.069013,0.077494,0.086907,0.097465,0.109320,0.122474,0.136904,0.152561,0.169204,0.186218,0.203432,0.220587,0.237400,0.253570,0.268784,0.284911,0.302006,0.320126,0.339334,0.359694,0.381275,0.404152,0.428401,0.454105,0.481351,0.510232,0.540846,0.573297,0.607695,0.644157,0.679428,0.713399,0.749069,0.786523,0.825849
2030,0.004250,0.000293,0.000173,0.000146,0.000124,0.000108,0.000097,0.000091,0.000087,0.000086,0.000088,0.000096,0.000108,0.000125,0.000145,0.000171,0.000204,0.000246,0.000295,0.000345,0.000394,0.000441,0.000484,0.000525,0.000564,0.000604,0.000648,0.000695,0.000745,0.000799,0.000858,0.000917,0.000973,0.001024,0.001068,0.001115,0.001170,0.001232,0.001297,0.001354,0.001401,0.001449,0.001510,0.001592,0.001696,0.001821,0.001960,0.002115,0.002290,0.002491,0.002719,0.002977,0.003268,0.003597,0.003963,0.004360,0.004783,0.005225,0.005678,0.006135,0.006590,0.007036,0.007465,0.007888,0.008332,0.008838,0.009416,0.010109,0.010957,0.011987,0.013222,0.014680,0.016351,0.018190,0.020142,0.022236,0.024557,0.027211,0.030279,0.033837,0.037950,0.042672,0.048032,0.054057,0.060854,0.068561,0.077014,0.086377,0.096871,0.108652,0.121723,0.136065,0.151630,0.168180,0.185100,0.202220,0.219281,0.235999,0.252076,0.267201,0.283233,0.300227,0.318240,0.337335,0.357575,0.379029,0.401771,0.425877,0.451430,0.478516,0.507227,0.537660,0.569920,0.604115,0.640362,0.675225,0.708986,0.744436,0.781658,0.820740
2031,0.004181,0.000289,0.000171,0.000144,0.000122,0.000106,0.000096,0.000089,0.000085,0.000084,0.000087,0.000095,0.000107,0.000123,0.000143,0.000170,0.000203,0.000244,0.000292,0.000342,0.000391,0.000438,0.000481,0.000522,0.000561,0.000600,0.000644,0.000691,0.000741,0.000795,0.000852,0.000911,0.000967,0.001017,0.001061,0.001108,0.001161,0.001223,0.001287,0.001343,0.001390,0.001436,0.001496,0.001578,0.001680,0.001803,0.001941,0.002094,0.002267,0.002465,0.002692,0.002948,0.003235,0.003561,0.003924,0.004318,0.004737,0.005175,0.005623,0.006076,0.006527,0.006967,0.007391,0.007810,0.008252,0.008759,0.009335,0.010022,0.010861,0.011882,0.013107,0.014554,0.016213,0.018038,0.019975,0.022053,0.024354,0.026987,0.030031,0.033560,0.037641,0.042326,0.047648,0.053639,0.060413,0.068112,0.076536,0.085850,0.096280,0.107986,0.120975,0.135229,0.150702,0.167156,0.183982,0.201006,0.217970,0.234594,0.250577,0.265612,0.281548,0.298441,0.316348,0.335328,0.355448,0.376775,0.399382,0.423344,0.448745,0.475670,0.504210,0.534463,0.566530,0.600522,0.636553,0.671017,0.704568,0.739797,0.776786,0.815626
