Probability of death for males by calendar year and by single year of age (ages 0 to 119).
Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
2022,0.005950,0.000517,0.000312,0.000250,0.000201,0.000169,0.000145,0.000128,0.000123,0.000122,0.000129,0.000144,0.000172,0.000229,0.000324,0.000456,0.000630,0.000834,0.001030,0.001169,0.001256,0.001326,0.001412,0.001512,0.001624,0.001740,0.001858,0.001969,0.002083,0.002210,0.002323,0.002437,0.002555,0.002646,0.002710,0.002787,0.002893,0.002994,0.003090,0.003215,0.003350,0.003494,0.003634,0.003802,0.003987,0.004163,0.004370,0.004645,0.004951,0.005282,0.005644,0.006046,0.006515,0.007050,0.007653,0.008331,0.009039,0.009819,0.010679,0.011569,0.012489,0.013443,0.014497,0.015625,0.016787,0.017930,0.019034,0.020218,0.021548,0.023004,0.024643,0.026469,0.028522,0.030896,0.033661,0.036908,0.040986,0.045124,0.049702,0.054697,0.060630,0.067050,0.074090,0.081896,0.090708,0.100903,0.112277,0.125134,0.139172,0.154073,0.170715,0.189221,0.209937,0.232316,0.254725,0.276929,0.298495,0.318967,0.337879,0.354773,0.372512,0.391137,0.410694,0.431229,0.452790,0.475430,0.499201,0.524161,0.550369,0.577888,0.606782,0.637121,0.668977,0.702426,0.737548,0.774425,0.813146,0.853803,0.896494,0.941318
2023,0.005802,0.000502,0.000294,0.000242,0.000199,0.000167,0.000148,0.000138,0.000135,0.000136,0.000142,0.000155,0.000182,0.000232,0.000312,0.000379,0.000512,0.000670,0.000843,0.001017,0.001179,0.001320,0.001435,0.001532,0.001624,0.001715,0.001806,0.001890,0.001963,0.002025,0.002079,0.002129,0.002183,0.002249,0.002325,0.002404,0.002484,0.002567,0.002651,0.002730,0.002799,0.002863,0.002940,0.003050,0.003202,0.003394,0.003615,0.003867,0.004160,0.004506,0.004911,0.005378,0.005908,0.006506,0.007167,0.007871,0.008606,0.009377,0.010191,0.011060,0.011995,0.013002,0.014048,0.015095,0.016123,0.016826,0.017814,0.018824,0.019930,0.021233,0.022819,0.024754,0.027071,0.029738,0.032661,0.035830,0.039303,0.043171,0.047501,0.052373,0.057855,0.064044,0.071055,0.079015,0.088050,0.096393,0.107547,0.119973,0.133721,0.148831,0.165368,0.183359,0.202675,0.222842,0.243115,0.263239,0.282873,0.301652,0.319207,0.335167,0.351926,0.369522,0.387998,0.407398,0.427768,0.449156,0.471614,0.495195,0.519954,0.545952,0.573250,0.601912,0.632008,0.663608,0.696789,0.731628,0.768209,0.806620,0.846951,0.889298
2024,0.005660,0.000430,0.000251,0.000208,0.000170,0.000144,0.000127,0.000119,0.000116,0.000117,0.000122,0.000134,0.000157,0.000200,0.000270,0.000356,0.000480,0.000628,0.000791,0.000954,0.001107,0.001240,0.001350,0.001443,0.001531,0.001619,0.001707,0.001788,0.001859,0.001918,0.001970,0.002017,0.002069,0.002131,0.002203,0.002278,0.002353,0.002432,0.002510,0.002583,0.002645,0.002701,0.002770,0.002869,0.003009,0.003185,0.003389,0.003622,0.003893,0.004215,0.004594,0.005031,0.005528,0.006089,0.006711,0.007372,0.008063,0.008787,0.009553,0.010371,0.011251,0.012199,0.013184,0.014168,0.015133,0.016089,0.017027,0.017979,0.019020,0.020250,0.021753,0.023595,0.025806,0.028354,0.031146,0.034170,0.037482,0.041171,0.045300,0.049946,0.055173,0.061075,0.067767,0.075380,0.084047,0.092931,0.103736,0.115754,0.129042,0.143642,0.159618,0.177001,0.195671,0.215172,0.234781,0.254244,0.273231,0.291387,0.308353,0.323771,0.339959,0.356957,0.374805,0.393546,0.413223,0.433884,0.455578,0.478357,0.502275,0.527389,0.553758,0.581446,0.610518,0.641044,0.673096,0.706751,0.742089,0.779193,0.818153,0.859061
2025,0.005574,0.000400,0.000234,0.000193,0.000158,0.000134,0.000119,0.000111,0.000108,0.000109,0.000114,0.000125,0.000147,0.000187,0.000253,0.000347,0.000468,0.000612,0.000770,0.000929,0.001078,0.001209,0.001317,0.001409,0.001496,0.001585,0.001672,0.001753,0.001823,0.001882,0.001933,0.001980,0.002030,0.002092,0.002162,0.002236,0.002310,0.002386,0.002462,0.002531,0.002589,0.002642,0.002706,0.002799,0.002932,0.003101,0.003297,0.003520,0.003782,0.004094,0.004461,0.004886,0.005369,0.005915,0.006521,0.007166,0.007839,0.008545,0.009291,0.010088,0.010947,0.011872,0.012833,0.013792,0.014732,0.015664,0.016572,0.017489,0.018490,0.019675,0.021129,0.022915,0.025064,0.027544,0.030260,0.033200,0.036419,0.040004,0.044016,0.048530,0.053607,0.059342,0.065849,0.073268,0.081738,0.091345,0.102014,0.113862,0.126951,0.141327,0.157057,0.174175,0.192564,0.211781,0.231107,0.250291,0.269001,0.286890,0.303602,0.318782,0.334721,0.351457,0.369030,0.387482,0.406856,0.427198,0.448558,0.470986,0.494536,0.519262,0.545225,0.572487,0.601111,0.631167,0.662725,0.695861,0.730654,0.767187,0.805546,0.845824
2026,0.005489,0.000395,0.000231,0.000190,0.000156,0.000132,0.000117,0.000110,0.000107,0.000108,0.000113,0.000124,0.000145,0.000185,0.000251,0.000344,0.000464,0.000607,0.000764,0.000923,0.001071,0.001202,0.001310,0.001402,0.001491,0.001580,0.001668,0.001750,0.001821,0.001881,0.001932,0.001979,0.002029,0.002090,0.002161,0.002234,0.002308,0.002383,0.002458,0.002526,0.002582,0.002632,0.002693,0.002783,0.002913,0.003078,0.003270,0.003489,0.003747,0.004055,0.004419,0.004839,0.005318,0.005861,0.006462,0.007102,0.007770,0.008471,0.009212,0.010004,0.010857,0.011777,0.012732,0.013685,0.014619,0.015546,0.016444,0.017347,0.018331,0.019498,0.020932,0.022701,0.024831,0.027292,0.029988,0.032903,0.036094,0.039648,0.043624,0.048098,0.053129,0.058812,0.065267,0.072640,0.081083,0.090685,0.101326,0.113120,0.126138,0.140431,0.156070,0.173090,0.191380,0.210498,0.229730,0.248819,0.267435,0.285232,0.301853,0.316946,0.332793,0.349432,0.366904,0.385249,0.404512,0.424737,0.445974,0.468273,0.491687,0.516271,0.542084,0.569189,0.597648,0.627531,0.658907,0.691852,0.726445,0.762767,0.800906,0.840951
2027,0.005403,0.000389,0.000227,0.000188,0.000154,0.000130,0.000116,0.000108,0.000105,0.000106,0.000111,0.000122,0.000144,0.000184,0.000249,0.000342,0.000461,0.000603,0.000759,0.000916,0.001064,0.001195,0.001303,0.001395,0.001484,0.001574,0.001662,0.001745,0.001817,0.001877,0.001928,0.001975,0.002025,0.002086,0.002157,0.002230,0.002303,0.002378,0.002452,0.002518,0.002572,0.002619,0.002678,0.002765,0.002892,0.003054,0.003243,0.003458,0.003712,0.004017,0.004377,0.004794,0.005268,0.005806,0.006403,0.007038,0.007701,0.008396,0.009131,0.009916,0.010763,0.011676,0.012624,0.013570,0.014499,0.015422,0.016312,0.017202,0.018171,0.019321,0.020738,0.022489,0.024601,0.027043,0.029717,0.032609,0.035773,0.039295,0.043237,0.047671,0.052656,0.058288,0.064690,0.072018,0.080435,0.090033,0.100645,0.112382,0.125327,0.139535,0.155080,0.171999,0.190185,0.209201,0.228333,0.247322,0.265840,0.283540,0.300068,0.315071,0.330825,0.347366,0.364734,0.382971,0.402119,0.422225,0.443336,0.465503,0.488778,0.513217,0.538878,0.565822,0.594113,0.623819,0.655010,0.687760,0.722148,0.758256,0.796169,0.835977
2028,0.005319,0.000384,0.000224,0.000185,0.000152,0.000129,0.000114,0.000107,0.000104,0.000105,0.000110,0.000121,0.000142,0.000182,0.000246,0.000339,0.000458,0.000598,0.000753,0.000909,0.001057,0.001187,0.001295,0.001387,0.001476,0.001566,0.001655,0.001739,0.001811,0.001871,0.001922,0.001968,0.002018,0.002079,0.002149,0.002222,0.002295,0.002369,0.002442,0.002507,0.002560,0.002605,0.002661,0.002746,0.002870,0.003029,0.003215,0.003427,0.003677,0.003978,0.004336,0.004748,0.005219,0.005752,0.006343,0.006973,0.007630,0.008319,0.009047,0.009826,0.010666,0.011571,0.012511,0.013450,0.014374,0.015294,0.016177,0.017056,0.018010,0.019145,0.020546,0.022279,0.024374,0.026796,0.029449,0.032317,0.035454,0.038946,0.042854,0.047248,0.052189,0.057771,0.064121,0.071403,0.079794,0.089388,0.099970,0.111651,0.124521,0.138641,0.154090,0.170906,0.188986,0.207895,0.226923,0.245809,0.264225,0.281825,0.298258,0.313170,0.328829,0.345270,0.362534,0.380661,0.399694,0.419678,0.440662,0.462695,0.485830,0.510122,0.535628,0.562409,0.590530,0.620056,0.651059,0.683612,0.717792,0.753682,0.791366,0.830934
2029,0.005234,0.000378,0.000221,0.000183,0.000150,0.000127,0.000113,0.000105,0.000103,0.000104,0.000109,0.000119,0.000141,0.000180,0.000244,0.000337,0.000454,0.000594,0.000748,0.000903,0.001050,0.001179,0.001287,0.001379,0.001468,0.001558,0.001648,0.001731,0.001803,0.001863,0.001914,0.001960,0.002010,0.002070,0.002140,0.002213,0.002285,0.002358,0.002430,0.002494,0.002545,0.002588,0.002643,0.002726,0.002848,0.003004,0.003187,0.003396,0.003643,0.003941,0.004295,0.004703,0.005169,0.005697,0.006284,0.006907,0.007558,0.008241,0.008963,0.009734,0.010566,0.011463,0.012395,0.013326,0.014246,0.015163,0.016040,0.016908,0.017850,0.018971,0.020356,0.022073,0.024150,0.026553,0.029184,0.032028,0.035139,0.038601,0.042475,0.046831,0.051727,0.057260,0.063558,0.070795,0.079161,0.088751,0.099302,0.110925,0.123719,0.137751,0.153102,0.169815,0.187786,0.206585,0.225507,0.244287,0.262598,0.280097,0.296432,0.311254,0.326816,0.343157,0.360315,0.378331,0.397247,0.417110,0.437965,0.459864,0.482857,0.507000,0.532349,0.558967,0.586915,0.616261,0.647074,0.679428,0.713399,0.749069,0.786523,0.825849
2030,0.005151,0.000373,0.000218,0.000180,0.000148,0.000125,0.000111,0.000104,0.000101,0.000102,0.000107,0.000118,0.000139,0.000178,0.000242,0.000334,0.000451,0.000590,0.000742,0.000896,0.001042,0.001171,0.001278,0.001370,0.001459,0.001550,0.001639,0.001722,0.001794,0.001854,0.001905,0.001951,0.002000,0.002060,0.002130,0.002202,0.002273,0.002346,0.002417,0.002479,0.002529,0.002571,0.002624,0.002705,0.002824,0.002978,0.003158,0.003364,0.003608,0.003903,0.004254,0.004659,0.005120,0.005643,0.006224,0.006842,0.007487,0.008162,0.008877,0.009641,0.010465,0.011353,0.012276,0.013200,0.014114,0.015030,0.015901,0.016761,0.017691,0.018798,0.020169,0.021869,0.023928,0.026312,0.028922,0.031743,0.034827,0.038260,0.042101,0.046419,0.051272,0.056755,0.063002,0.070194,0.078534,0.088120,0.098641,0.110206,0.122922,0.136865,0.152118,0.168726,0.186587,0.205275,0.224089,0.242760,0.260965,0.278362,0.294599,0.309328,0.324795,0.341035,0.358086,0.375991,0.394790,0.414530,0.435256,0.457019,0.479870,0.503863,0.529057,0.555509,0.583285,0.612449,0.643072,0.675225,0.708986,0.744436,0.781658,0.820740
2031,0.005068,0.000368,0.000215,0.000178,0.000146,0.000124,0.000110,0.000103,0.000100,0.000101,0.000106,0.000116,0.000137,0.000176,0.000240,0.000331,0.000448,0.000585,0.000737,0.000890,0.001035,0.001163,0.001270,0.001362,0.001450,0.001540,0.001629,0.001712,0.001784,0.001844,0.001895,0.001941,0.001989,0.002049,0.002118,0.002189,0.002260,0.002332,0.002402,0.002464,0.002512,0.002553,0.002604,0.002683,0.002801,0.002953,0.003130,0.003333,0.003574,0.003866,0.004214,0.004615,0.005072,0.005590,0.006165,0.006777,0.007415,0.008084,0.008791,0.009547,0.010362,0.011242,0.012156,0.013072,0.013981,0.014895,0.015762,0.016613,0.017532,0.018626,0.019983,0.021668,0.023709,0.026074,0.028663,0.031461,0.034520,0.037924,0.041732,0.046012,0.050822,0.056257,0.062454,0.069601,0.077915,0.087497,0.097987,0.109493,0.122132,0.135986,0.151140,0.167642,0.185392,0.203968,0.222672,0.241234,0.259332,0.276624,0.292763,0.307401,0.322771,0.338909,0.355855,0.373648,0.392330,0.411946,0.432544,0.454171,0.476879,0.500723,0.525760,0.552048,0.579650,0.608632,0.639064,0.671017,0.704568,0.739797,0.776786,0.815626
