country,happiness,standard error of happiness,log GDP per capita
Finland,7.80870008468628,0.031156305223703,10.6392669677734
Denmark,7.64559984207153,0.033492285758257,10.774001121521
Switzerland,7.55989980697632,0.035014171153307,10.9799327850342
Iceland,7.50449991226196,0.059615861624479,10.7725591659546
Norway,7.48799991607666,0.034837383776903,11.0878038406372
Netherlands,7.44890022277832,0.027791749686003,10.8127117156982
Sweden,7.35349988937378,0.036234196275473,10.7587938308716
New Zealand,7.29960012435913,0.039465468376875,10.5009431838989
Austria,7.29419994354248,0.033365163952112,10.742823600769
Luxembourg,7.23750019073486,0.030851794406772,11.4506807327271
Canada,7.23210000991821,0.040405459702015,10.6923685073853
Australia,7.22279977798462,0.041841115802527,10.7205963134766
United Kingdom,7.16450023651123,0.037161909043789,10.6001348495483
Israel,7.12860012054443,0.042515181005001,10.4175252914429
Costa Rica,7.12139987945557,0.044816117733717,9.6581563949585
Ireland,7.09369993209839,0.039863452315331,11.1609783172607
Germany,7.0757999420166,0.035609804093838,10.7328186035156
United States,6.93959999084473,0.047316167503595,10.9257688522339
Czech Republic,6.9109001159668,0.042891297489405,10.4041633605957
Belgium,6.86350011825562,0.034370355308056,10.6736392974854
United Arab Emirates,6.79080009460449,0.040698379278183,11.1099987030029
Malta,6.77279996871948,0.042958103120327,10.5338382720947
France,6.66379976272583,0.037576790899038,10.5842227935791
Mexico,6.46500015258789,0.048122469335795,9.79779720306397
Taiwan Province of China,6.45539999008179,0.039139576256275,10.7756853103638
Uruguay,6.44010019302368,0.045419082045555,9.94819259643555
Saudi Arabia,6.4064998626709,0.056533612310886,10.797812461853
Spain,6.40089988708496,0.042300369590521,10.462926864624
Guatemala,6.39890003204346,0.058398302644491,8.92480564117432
Italy,6.38740015029907,0.043288074433804,10.4818363189697
Singapore,6.37709999084473,0.033258967101574,11.3955211639404
Brazil,6.37559986114502,0.040790688246489,9.56643486022949
Slovenia,6.36339998245239,0.043841313570738,10.3923225402832
El Salvador,6.34829998016357,0.058248437941074,8.90907573699951
Kosovo,6.32520008087158,0.052216276526451,9.20442962646484
Panama,6.30480003356934,0.059724930673838,10.034234046936
Slovakia,6.28060007095337,0.038897570222616,10.347749710083
Uzbekistan,6.25759983062744,0.05422754958272,8.74037170410156
Chile,6.22849988937378,0.045723889023066,10.032054901123
Bahrain,6.22730016708374,0.081882260739803,10.6763801574707
Lithuania,6.21549987792969,0.044193107634783,10.3436260223389
Trinidad and Tobago,6.19189977645874,0.114448457956314,10.2600021362305
Poland,6.1862998008728,0.035500165075064,10.2651243209839
Colombia,6.16340017318726,0.056480873376131,9.50036907196045
Cyprus,6.15899991989136,0.050605937838554,10.4057025909424
Nicaragua,6.13710021972656,0.06388696283102,8.49316024780273
Romania,6.12370014190674,0.047432564198971,10.1075839996338
Kuwait,6.1020998954773,0.053297732025385,11.0898246765137
Mauritius,6.10129976272583,0.057226493954659,9.95678615570068
Kazakhstan,6.05789995193481,0.043229784816504,10.1146583557129
Estonia,6.02180004119873,0.035985194146633,10.3400173187256
Philippines,6.00600004196167,0.049858402460814,8.99354553222656
Hungary,6.00040006637573,0.039473220705986,10.2492437362671
Thailand,5.9987998008728,0.04259629547596,9.74179172515869
Argentina,5.97469997406006,0.053441759198904,9.81095504760742
Honduras,5.95319986343384,0.065731592476368,8.42453479766846
Latvia,5.94999980926514,0.034838136285544,10.1753196716309
Ecuador,5.92519998550415,0.052880633622408,9.24605846405029
Portugal,5.9109001159668,0.053158197551966,10.2637424468994
Jamaica,5.88980007171631,0.120590433478355,9.00625038146973
South Korea,5.87239980697632,0.044085014611483,10.5105667114258
Japan,5.87080001831055,0.041391666978598,10.5796890258789
Peru,5.79680013656616,0.061311203986406,9.45631313323975
Serbia,5.77820014953613,0.050712324678898,9.68098068237305
Bolivia,5.74749994277954,0.050645422190428,8.85111522674561
Pakistan,5.69329977035522,0.048216223716736,8.48272705078125
Paraguay,5.69210004806519,0.051957864314318,9.38998222351074
Dominican Republic,5.68919992446899,0.069831296801567,9.66488075256348
Bosnia and Herzegovina,5.67409992218018,0.046385962516069,9.45581722259522
Moldova,5.60750007629395,0.042275577783585,8.77671432495117
Tajikistan,5.55569982528687,0.032321576029062,8.02481079101563
Montenegro,5.54610013961792,0.048985820263624,9.75186061859131
Russia,5.5460000038147,0.039609670639038,10.1288719177246
Kyrgyzstan,5.54150009155273,0.043677467852831,8.14840507507324
Belarus,5.53989982604981,0.037060037255287,9.77994537353516
North Cyprus,5.53550004959106,0.051037240773439,10.4057025909424
Greece,5.5149998664856,0.046931833028793,10.1323261260986
Hong Kong S.A.R. of China,5.51039981842041,0.046019028872252,10.9346714019775
Croatia,5.50470018386841,0.037783645093441,10.0708751678467
Libya,5.48880004882813,0.060677204281092,9.78981590270996
Mongolia,5.45620012283325,0.040313236415386,9.41218662261963
Malaysia,5.38430023193359,0.048802696168423,10.2625188827515
Vietnam,5.35349988937378,0.033800762146711,8.80954551696777
Indonesia,5.28560018539429,0.047692380845547,9.36975193023682
Ivory Coast,5.23330020904541,0.073095515370369,8.22556114196777
Benin,5.21600008010864,0.077759243547916,7.67431974411011
Maldives,5.1975998878479,0.071985401213169,9.51863288879395
Congo (Brazzaville),5.1943998336792,0.077028967440128,8.5369873046875
Azerbaijan,5.16480016708374,0.034197241067886,9.68772697448731
Macedonia,5.15980005264282,0.04676153510809,9.51059150695801
Ghana,5.14799976348877,0.058634608983994,8.35064506530762
Nepal,5.13719987869263,0.057692084461451,7.92535734176636
Turkey,5.13180017471314,0.039838459342718,10.1294193267822
China,5.12389993667603,0.025901664048433,9.68856811523438
Turkmenistan,5.11910009384155,0.02937981672585,9.74803256988525
Bulgaria,5.10150003433228,0.044221170246601,9.86931896209717
Morocco,5.09479999542236,0.05565045028925,8.9403133392334
Cameroon,5.08489990234375,0.067296072840691,8.11864757537842
Venezuela,5.05319976806641,0.064280509948731,8.97779369354248
Algeria,5.00509977340698,0.04423600807786,9.53796482086182
Senegal,4.98080015182495,0.052769079804421,8.11898231506348
Guinea,4.94929981231689,0.07304222881794,7.75099039077759
Niger,4.90959978103638,0.077208280563355,6.84216690063477
Laos,4.88859987258911,0.040268614888191,8.79858016967773
Albania,4.88269996643066,0.056115731596947,9.41793060302734
Cambodia,4.8484001159668,0.058006871491671,8.24989032745361
Bangladesh,4.83279991149902,0.040124192833901,8.28706359863281
Gabon,4.82929992675781,0.060268241912127,9.68053722381592
South Africa,4.81409978866577,0.060023590922356,9.40337085723877
Iraq,4.78480005264282,0.077791877090931,9.66109561920166
Lebanon,4.77150011062622,0.043753985315561,9.36172389984131
Burkina Faso,4.76870012283325,0.06206726655364,7.46854496002197
Gambia,4.75059986114502,0.067163653671742,7.32181453704834
Mali,4.72930002212524,0.064362764358521,7.62985229492188
Nigeria,4.72410011291504,0.052116259932518,8.57662487030029
Armenia,4.67679977416992,0.058595355600119,9.10047626495361
Georgia,4.67259979248047,0.043417412787676,9.22610092163086
Iran,4.67239999771118,0.055878020823002,9.81371974945068
Jordan,4.63339996337891,0.058751218020916,9.02599906921387
Mozambique,4.62360000610352,0.079284086823464,7.06934595108032
Kenya,4.58300018310547,0.067804984748364,8.02977561950684
Namibia,4.57110023498535,0.06098347529769,9.20314121246338
Ukraine,4.56069993972778,0.049683894962072,9.01069068908691
Liberia,4.55789995193481,0.08195635676384,7.05438041687012
Palestinian Territories,4.55280017852783,0.055874817073345,8.38922309875488
Uganda,4.43200016021729,0.068495452404022,7.50038957595825
Chad,4.42269992828369,0.075231321156025,7.46796369552612
Tunisia,4.39219999313355,0.049670532345772,9.31497287750244
Mauritania,4.37459993362427,0.055093340575695,8.23391914367676
Sri Lanka,4.3270001411438,0.053085524588823,9.38996982574463
Congo (Kinshasa),4.31099987030029,0.108998231589794,6.69425630569458
Swaziland,4.30810022354126,0.071451939642429,9.16267395019531
Myanmar,4.30800008773804,0.042949214577675,8.68048191070557
Comoros,4.28859996795654,0.084340192377567,7.83363008499146
Togo,4.18720006942749,0.062506772577763,7.35771131515503
Ethiopia,4.18620014190674,0.03891509398818,7.50938558578491
Madagascar,4.16559982299805,0.057542104274035,7.2816858291626
Egypt,4.15140008926392,0.035979423671961,9.31654167175293
